車種,メーカー,年,台,kg,km/h,排気cc,出力,トルク,全長,全幅,全高,HB,駆動,エンジン 
カウンタックLP400,ランボルギーニ,1974,150,1065.0,260,3929,380.0,36.9,4140,1890,1029,2450,MR,60度V型12気筒DOHC縦置き
カウンタックLP500,ランボルギーニ,1971,1,1130.0,300,4971,440.0,51.0,4140,1890,1070,2450,MR,60度V型12気筒DOHC縦置き
カウンタックLP400S,ランボルギーニ,1978,237,1351.0,260,3929,353,41.8,4140,2000,1070,2450,MR,60度V型12気筒DOHC縦置き
カウンタックLP500S,ランボルギーニ,1982,324,1490.0,315,4754,447,41.7,4140,1995,1029,2443,MR,60度V型12気筒DOHC縦置き
カウンタック5000QV,ランボルギーニ,1985,632,1490.0,295,5167,455.0,51.0,4140,2000,1070,2500,MR,60度V型12気筒DOHC縦置き
ウラッコP250,ランボルギーニ,1973,520,1150.0,220,2463,180.0,23.0,4249,1759,1115,2448,MR,水冷90度V型8気筒SOHC16バルブ
ミウラP400,ランボルギーニ,1966,475,980.0,293,3929,350.0,39.0,4380,1780,1100,2504,MR,60度V型12気筒DOHC横置き
ミウラP400S,ランボルギーニ,1970,140,1180.0,280,3929,370.0,39.0,4380,1780,1100,2504,MR,60度V型12気筒DOHC横置き
ミウラP400SV,ランボルギーニ,1972,150,1305.0,285,3929,385.0,39.0,4380,1780,1100,2504,MR,60度V型12気筒DOHC横置き
イオタ,ランボルギーニ,1969,1,1330.0,320,3929,370.0,39.0,4380,1780,1100,2504,MR,60度V型12気筒DOHC横置き
512BB,フェラーリ,1976,929,1515.0,302,4942,380.0,39.0,4380,1780,1100,2504,MR,60度V型12気筒DOHC横置き
ディノ246GT,フェラーリ,1968,3761,1080.0,243,2418,195.0,23.0,4240,1652,1135,2340,FR,64度V型6気筒DOHC横置き
365GTB/4デイトナ,フェラーリ,1968,1406,1280.0,280,4390,352.0,44.0,4425,1760,1245,2400,FR,水冷V型12気筒DOHC
308GTB,フェラーリ,1975,2897,1090.0,252,2926,255.0,30.0,4230,1720,1120,2340,FR,水冷90度V型8気筒DOHC
テスタロッサ,フェラーリ,1984,7177.0,1660,290,4943,390.0,50.0,4485,1976,1130,2550,MR,180度V型12気筒DOHC
911カレラRS,ポルシェ,1973,1580,1075.0,241,2687,260.0,26.0,4147,1652,1320,2271,RR,空冷水平対向6気筒OHC
930ターボ,ポルシェ,1975,1623,1195.0,280,2994,260.0,44.0,4291,1775,1320,2272,RR,空冷水平対向6気筒SOHC+ターボ
928,ポルシェ,1977,61000,1485.0,230,4474,340.0,36.7,4435,1845,1300,2500,FR,水冷V型8気筒SOHC
ヨーロッパスペシャル,ロータス,1972,4710,730.0,185,1558,126.0,15.6,3980,1650,1090,2340,MR,水冷直列4気筒DOHC縦置き
エスプリS1,ロータス,1976,994,897.0,222,1971,160.0,19.4,4191,1860,1111,2440,MR,水冷直列4気筒DOHC
カムシン,マセラティ,1974,421,1680.0,275,4930,320.0,48.8,4394,1768,1120,2550,FR,90度V型8気筒DOHC
ボーラ,マセラティ,1971,530,1520.0,280,4719,310.0,46.9,4335,1738,1138,2600,MR,水冷V型8気筒DOHC
メラクSS,マセラティ,1975,993,1451.0,248,2965,220.0,28.0,4335,1768,1134,2600,MR,V型6気筒DOHC
ブーメラン,マセラティ,1972,1,1400.0,300,4719,318.0,47.0,4342,1860,1070,2600,MR,90度V型8気筒DOHC
パンテーラ,デ・トマソ,1970,7298,1420.0,280,5763,350.0,45.0,4270,1830,1100,2515,MR,V型8気筒OHV縦置き
ストラトス,ランチア,1974,492,980.0,230,2418,190.0,23.0,3710,1750,1114,2180,MR,水冷65度V型6気筒DOHC横置き
3.0CSL,BMW,1971,1039,1270.0,220,3003,200.0,27.7,4630,1730,1370,2625,FR,直列6気筒OHC
2000GT,トヨタ,1967,337,1120.0,220,1988,150.0,18.0,4175,1600,1160,2330,FR,直列6気筒DOHC
スカイライン2000GT-R,日産,1969,1945,1100.0,180,1989,160.0,18.0,4330,1665,1370,2340,FR,日産S20型水冷直列6気筒4バルブDOHC
コスモスポーツ,マツダ,1967,1176,960.0,185,982,110.0,14.2,4130,1595,1165,2350,FR,10A型水冷直列ロータリーエンジン
童夢-零,童夢,1978,0,920.0,240,2753,145.0,23.0,3980,1770,980,2400,MR,日産L28型水冷直列6気筒SOHC
